episode,steps,total_steps,return,status,on_pad,fuel,epsilon,loss_mean,q_mean,return_avg100,pad_rate100,seconds
114,162,16785,-69.1,crashed,0,22.17,0.6811,0.2667,17.308,-134.51,0.0,5.4
115,154,16939,-182.55,crashed,0,17.73,0.6782,0.5397,-0.221,-135.63,0.0,5.5
116,146,17085,-100.05,crashed,0,17.85,0.6754,0.6659,9.361,-135.05,0.0,5.5
117,308,17393,-105.53,crashed,0,48.72,0.6695,0.6665,9.143,-134.11,0.0,5.6
118,120,17513,-167.85,crashed,0,13.2,0.6673,0.6933,4.498,-134.65,0.0,5.7
119,164,17677,-70.22,crashed,0,23.49,0.6641,0.539,12.448,-134.03,0.0,5.7
120,259,17936,-92.7,crashed,0,42.18,0.6592,0.3765,12.024,-132.99,0.0,5.8
121,177,18113,-119.65,crashed,0,23.49,0.6559,0.5601,14.928,-132.88,0.0,5.8
122,239,18352,-67.15,crashed,0,37.2,0.6513,0.598,15.438,-131.54,0.0,5.9
123,153,18505,-174.41,crashed,0,18.9,0.6484,0.6436,3.139,-131.77,0.0,5.9
124,160,18665,-135.06,crashed,0,21.12,0.6454,0.3893,12.424,-131.56,0.0,6.0
125,132,18797,-120.7,crashed,0,13.95,0.6429,0.5144,14.222,-132.06,0.0,6.0
126,180,18977,-130.19,crashed,0,23.07,0.6394,0.428,7.134,-132.77,0.0,6.1
127,195,19172,-111.51,crashed,0,26.79,0.6357,1.018,10.078,-133.21,0.0,6.1
128,217,19389,-130.96,crashed,0,30.45,0.6316,0.3348,10.913,-132.8,0.0,6.2
129,186,19575,-49.28,crashed,0,28.86,0.6281,0.5082,15.247,-131.14,0.0,6.3
130,160,19735,-51.54,crashed,0,20.01,0.625,0.3931,21.401,-129.81,0.0,6.3
131,152,19887,-0.5,crashed,0,23.46,0.6221,0.3008,18.717,-129.33,0.0,6.4
132,489,20376,-325.33,crashed,0,83.1,0.6129,0.5956,2.493,-131.31,0.0,6.5
133,276,20652,-200.05,crashed,0,43.89,0.6076,0.4695,1.853,-131.16,0.0,6.6
134,168,20820,-113.81,crashed,0,22.62,0.6044,0.576,12.007,-131.1,0.0,6.6
135,301,21121,-122.8,crashed,0,48.99,0.5987,0.5174,4.264,-131.2,0.0,6.7
136,218,21339,-135.21,crashed,0,31.68,0.5946,0.4463,10.652,-130.79,0.0,6.8
137,294,21633,-84.63,crashed,0,46.23,0.589,0.4466,11.077,-130.32,0.0,6.9
138,190,21823,-49.5,crashed,0,27.81,0.5854,0.4915,15.799,-129.62,0.0,6.9
139,1000,22823,-22.35,timeout,0,150.6,0.5664,0.5584,-3.546,-128.7,0.0,7.2
140,799,23622,29.74,landed_off_pad,0,82.71,0.5512,0.4828,-7.745,-127.66,0.0,7.4
141,284,23906,120.84,landed_off_pad,0,31.86,0.5458,0.4068,4.742,-125.23,0.0,7.5
142,368,24274,235.84,landed_on_pad,1,53.25,0.5388,0.5863,2.28,-121.75,0.01,7.6
143,568,24842,220.74,landed_on_pad,1,57.63,0.528,0.433,-0.184,-117.88,0.02,7.8
144,148,24990,-100.58,crashed,0,21.39,0.5252,0.392,12.521,-116.9,0.02,7.9
145,443,25433,234.88,landed_on_pad,1,50.49,0.5168,0.501,2.471,-113.12,0.03,8.0
146,126,25559,-62.53,crashed,0,15.45,0.5144,0.6734,21.858,-112.5,0.03,8.0
147,799,26358,-323.05,crashed,0,126.45,0.4992,0.4964,2.664,-114.66,0.03,8.3
148,198,26556,-67.26,crashed,0,31.62,0.4954,0.4375,17.451,-112.78,0.03,8.3
149,155,26711,-43.48,crashed,0,23.01,0.4925,0.3833,21.917,-111.9,0.03,8.4
150,210,26921,-102.29,crashed,0,28.92,0.4885,0.4102,12.413,-111.04,0.03,8.4
151,169,27090,-119.73,crashed,0,22.53,0.4853,0.6124,8.825,-110.08,0.03,9.3
152,1000,28090,-76.37,timeout,0,176.79,0.4663,0.4919,8.972,-109.04,0.03,9.6
153,141,28231,-52.55,crashed,0,20.4,0.4636,0.2916,19.904,-108.69,0.03,9.6
154,308,28539,247.36,landed_on_pad,1,38.31,0.4578,0.5011,12.021,-105.51,0.04,9.7
155,493,29032,184.61,landed_on_pad,1,64.98,0.4484,0.4097,6.37,-101.62,0.05,9.9
156,1000,30032,-76.53,timeout,0,176.91,0.4294,0.4677,9.613,-100.72,0.05,10.2
157,1000,31032,-34.93,timeout,0,175.2,0.4104,0.4335,5.058,-99.38,0.05,10.5
158,1000,32032,-29.69,timeout,0,176.61,0.3914,0.435,6.006,-98.73,0.05,10.8
